Class,Total_Count,Mean_Density,Mean_Coverage,Mean_Length,Mean_Score,Files_Present
G-Quadruplex,5139459,1.581,3.3431,21.8576,1.0103,12
Curved_DNA,2439300,1.7194,1.9313,16.9887,1.2255,11
Slipped_DNA,1419846,0.2884,0.8631,38.5658,1.0818,12
Cruciform,1369191,0.8571,1.975,23.9378,1.0651,12
R-Loop,1295309,0.1713,12.2672,337.8084,1.3272,12
Non-B_DNA_Clusters,1201116,0.5051,17.0782,358.8793,1.163,12
i-Motif,809817,0.1768,0.5533,32.3055,1.7318,10
Hybrid,549796,0.2526,3.6376,111.8727,1.1904,12
Triplex,496623,0.126,0.3136,23.3961,1.189,12
A-philic_DNA,190262,0.1034,0.1015,10.5708,1.0525,11
Z-DNA,56177,0.4797,0.5106,11.6278,1.0446,10
